id,ingredient,degree,sugar,base_spirit,glass_id,color_id,occasion_id
67,"얼음|480 ml,앱솔루트 바니리아|150 ml,콜라|1 웨지,라임",29,2,vodka,4,2,15
68,"얼음|30 ml,앱솔루트 주스 스트로베리|60 ml,소다수|4 슬라이스,딸기",11,7,vodka,3,7,14
69,"얼음|480 ml,앱솔루트 보드카|570 ml,콜라|라임",18,6,vodka,4,2,22
70,"얼음|330 ml,앱솔루트 보드카|20 ml,드라이 버무스|3.76 ml,오렌지 비터즈|10 ml,석류즙",37,0,vodka,7,7,4
71,"얼음|30 ml,앱솔루트 바니리아|30 ml,패션 프루트 주스|20 ml,레몬 주스|20 ml,패션 프루트 리큐어|10 ml,슈가시럽|4 개,딸기|1 웨지,파인애플|1 개,바닐라",17,12,vodka,4,1,14
72,"얼음|480 ml,앱솔루트 페어|0.94 ml,레몬 주스|사이다|1 웨지,레몬|1 개,빨대",39,0,vodka,4,3,14
73,"얼음|30 ml,앱솔루트 그레이프프루트|30 ml,소다수|1 방울,크랜베리 주스|1 웨지,레몬",20,5,vodka,2,7,4
74,"얼음|480 ml,앱솔루트 시트론|90 ml,코코넛 워터|20 ml,라임 주스|2.82 ml,비터즈|1 슬라이스,파인애플",32,0,vodka,2,3,5
75,"얼음|30 ml,앱솔루트 바니리아|15 ml,말리부 럼|90 ml,패션 프루트 주스|파인애플",10,11,vodka,4,9,22
76,"얼음|480 ml,앱솔루트 망고|15 ml,라임 주스|진저비어|1 웨지,망고",36,0,vodka,5,3,14
77,"480 ml,앱솔루트 보드카|120 ml,토마토 주스|30 ml,서양고추냉이|3.76 ml,핫 소스|10 ml,우스터 소스|10 ml,레몬 주스|1 웨지,레몬|1 개,셀러리",29,1,vodka,4,1,14
78,"얼음|30 ml,앱솔루트 보드카|15 ml,라이치 리큐어|10 ml,블루 큐라소|10 ml,바이올렛 리큐어|1 개,식용 꽃|1 잎,민트",29,12,vodka,7,8,4
79,"얼음|480 ml,앱솔루트 보드카|10 ml,블루베리 리큐어|슈가시럽|3 개,블루베리",39,0,vodka,7,8,14
80,"얼음|60 ml,앱솔루트 보드카|블루베리 리큐어|30 ml,라임 주스|슈가시럽|블루베리",30,1,vodka,7,8,14
81,"얼음|480 ml,앱솔루트 보드카|60 ml,레몬에이드|60 ml,아이스 티|1 웨지,라임",32,2,vodka,4,3,14
82,"얼음|30 ml,앱솔루트 보드카|30 ml,깔루아|1 개,체리",28,10,vodka,2,2,14
83,"얼음|480 ml,앱솔루트 보드카|150 ml,클라마토|1.88 ml,핫 소스|1.88 ml,우스터 소스|1 개,셀러리|1 웨지,레몬",30,0,vodka,4,1,21
84,"얼음|480 ml,앱솔루트 패션프루트|15 ml,패션프루트 퓨레|15 ml,바닐라 시럽|3 개,딸기",35,1,vodka,7,1,22
85,"얼음|30 ml,앱솔루트 워터멜론|60 ml,소다수|수박|라임",12,7,vodka,4,5,22
86,"얼음|480 ml,앱솔루트 보드카|150 ml,오렌지 주스|0.94 ml,석류즙|1 슬라이스,오렌지",30,2,vodka,4,3,14
87,"얼음|22.5 ml,앱솔루트 보드카|22.5 ml,복숭아 퓌레|샴페인",20,7,vodka|champagne,1,3,14
88,"얼음|480 ml,앱솔루트 보드카|150 ml,크랜베리 주스|1 웨지,라임",30,3,vodka,4,1,22
89,"얼음|15 ml,앱솔루트 보드카|15 ml,크림|15 ml,깔루아|15 ml,우유|15 ml,아마레또",11,8,vodka,7,2,15
90,"얼음|480 ml,앱솔루트 워터멜론|90 ml,사이다|수박|라임",32,1,vodka,4,5,22
91,"얼음|330 ml,앱솔루트 바니리아|22.5 ml,에스프레소|22.5 ml,깔루아|1 개,바닐라|2 개,커피 콩",34,1,vodka,7,2,15
